0.5,199.654425976239,200.797269655223
1,199.839607041975,195.911730935559
1.5,199.840900930258,190.73147041673
2,199.892806920587,188.604240180058
2.5,199.831619294664,187.890385323438
3,199.897035702628,187.349579111014
3.5,199.99767884315,186.605144345405
4,199.993630020731,188.878081271053
4.5,199.910814939394,187.196345984325
5,199.899485930592,189.68203251739
5.5,199.910227148475,187.429095954604
6,199.993988422226,192.789755093461
6.5,199.872915495702,191.780553179995
7,199.696596178311,193.522335317607
7.5,199.260705014926,198.86140456953
8,198.527460792578,193.896816700935
8.5,197.871818822134,193.166340406133
9,197.386520662373,193.219775900943
9.5,196.577960412076,192.733292066276
10,196.505356793961,187.826625697872
10.5,195.831666913051,184.39324180598
11,196.221861887116,180.732612688927
11.5,195.978891948397,177.887956599677
12,195.650365648426,175.806074640404
12.5,195.087644621187,177.115083749448
13,195.100509195464,174.647580094051
13.5,194.660960485135,177.808164980089
14,195.769477091311,177.510301475886
14.5,195.442066767615,175.373445183686
15,196.499563227947,173.918915820285
15.5,196.641962576537,177.438175032624
16,197.149793743074,179.353508954409
16.5,195.393845036847,179.998981609657
17,194.962871023772,180.214047152168
17.5,196.169524955923,184.595132563089
18,196.4846717668,189.11909698533
18.5,196.838072826383,194.596441928196
19,196.996456225102,199.385727370666
19.5,198.61755243092,207.005917760341
20,199.444920259427,215.143546163195
20.5,199.82679006974,213.801577895842
21,199.748119982904,217.463589252593
21.5,199.863606063603,216.216838038548
22,199.881316319137,215.465269510355
22.5,199.997297438672,213.080566191494
23,199.846876951793,209.523085733918
23.5,199.893632274449,208.908624757798
24,199.848832324039,202.711930841643
